date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
2001-08-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2001-09-01,4.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2001-10-01,4.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2001-11-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2001-12-01,5.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-01-01,8.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-02-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-03-01,6.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-04-01,5.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-05-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-06-01,5.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-07-01,5.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-08-01,5.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-09-01,4.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-10-01,4.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-11-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2002-12-01,6.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-01-01,7.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-02-01,7.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-03-01,7.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-04-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-05-01,6.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-06-01,6.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-07-01,6.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-08-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-09-01,5.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-10-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-11-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2003-12-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-01-01,7.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-02-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-03-01,7.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-04-01,5.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-05-01,6.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-06-01,6.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-07-01,6.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-08-01,5.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-09-01,5.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-10-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-11-01,5.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2004-12-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-01-01,6.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-02-01,6.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-03-01,6.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-04-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-05-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-06-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-07-01,5.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-08-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-09-01,4.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-10-01,4.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-11-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2005-12-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-01-01,6.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-02-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-03-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-04-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-05-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-06-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-07-01,5.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-08-01,5.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-09-01,4.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-10-01,3.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-11-01,4.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2006-12-01,4.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-01-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-02-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-03-01,5.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-04-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-05-01,4.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-06-01,4.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-07-01,4.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-08-01,4.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-09-01,4.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-10-01,4.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-11-01,4.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2007-12-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-01-01,6.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-02-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-03-01,6.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-04-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-05-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-06-01,5.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-07-01,5.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-08-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-09-01,4.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-10-01,5.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-11-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2008-12-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-01-01,8.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-02-01,9.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-03-01,8.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-04-01,7.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-05-01,8.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-06-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-07-01,8.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-08-01,8.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-09-01,7.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-10-01,7.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-11-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2009-12-01,7.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-01-01,10.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-02-01,10.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-03-01,9.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-04-01,8.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-05-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-06-01,8.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-07-01,8.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-08-01,8.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-09-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-10-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-11-01,7.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2010-12-01,7.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-01-01,9.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-02-01,8.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-03-01,8.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-04-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-05-01,7.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-06-01,8.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-07-01,8.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-08-01,8.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-09-01,7.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-10-01,6.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-11-01,7.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2011-12-01,7.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-01-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-02-01,8.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-03-01,8.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-04-01,7.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-05-01,7.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-06-01,8.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-07-01,8.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-08-01,7.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-09-01,6.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-10-01,6.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-11-01,6.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2012-12-01,7.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2013-01-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2013-02-01,8.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2013-03-01,7.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
2013-04-01,6.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
