date,All Employees: Wholesale Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1994-11-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1994-12-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-01-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-02-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-03-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-04-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-05-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-06-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-08-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-09-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-10-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-11-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1995-12-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-01-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-02-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-03-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-04-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-05-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-06-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-08-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-09-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-10-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-11-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1996-12-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-01-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-02-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-03-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-04-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-05-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-06-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-07-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-08-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-09-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-10-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-11-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1997-12-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-01-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-02-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-03-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-04-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-05-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-06-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-07-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-08-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-09-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-10-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-11-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1998-12-01,0.9,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-01-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-02-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-03-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-04-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-05-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-06-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-07-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-08-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-09-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-10-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-11-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
1999-12-01,0.8,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-01-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-02-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-03-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-04-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-05-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-06-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-08-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-09-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-10-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-11-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2000-12-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-01-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-02-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-03-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-04-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-05-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-06-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-08-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-09-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-10-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-11-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2001-12-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-01-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-02-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-03-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-04-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-05-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-06-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-08-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-09-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-10-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-11-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2002-12-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-01-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-02-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-03-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-04-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-05-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-06-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-08-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-09-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-10-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-11-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2003-12-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-01-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-02-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-03-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-04-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-05-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-06-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-08-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-09-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-10-01,0.6,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-11-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2004-12-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-01-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-02-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-03-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-04-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-05-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-06-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-07-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-08-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-09-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-10-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
2005-11-01,0.7,ID,"Lewiston, ID-WA",Lewiston,"All Employees: Wholesale Trade in Lewiston, ID-WA (MSA)",SMU16303004100000001SA,Monthly,Seasonally Adjusted
