date,All Employees: Financial Activities,state,msa,city,title,id,frequency,seasonal_adjustment
2003-07-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2003-08-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2003-09-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2003-10-01,5.6,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2003-11-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2003-12-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-01-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-02-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-03-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-04-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-05-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-06-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-07-01,5.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-08-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-09-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-10-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-11-01,5.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2004-12-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-01-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-02-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-03-01,5.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-04-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-05-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-06-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-07-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-08-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-09-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-10-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-11-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2005-12-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-01-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-02-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-03-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-04-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-05-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-06-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-07-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-08-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-09-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-10-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-11-01,5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2006-12-01,5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-02-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-03-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-04-01,4.6,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-05-01,4.6,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-06-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-07-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-08-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-09-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-10-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-11-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2007-12-01,4.4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-01-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-02-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-03-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-04-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-05-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-06-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-07-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-08-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-09-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-10-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-11-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2008-12-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-01-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-02-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-03-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-04-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-05-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-06-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-07-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-08-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-09-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-10-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-11-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2009-12-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-01-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-02-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-03-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-04-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-05-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-06-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-07-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-08-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-09-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-10-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-11-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2010-12-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-01-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-02-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-03-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-04-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-05-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-06-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-07-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-08-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-09-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-10-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-11-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2011-12-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-01-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-02-01,3.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-03-01,3.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-04-01,3.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-05-01,3.9,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-06-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-07-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-08-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-09-01,4,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-10-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-11-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2012-12-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-01-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-02-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-03-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-04-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-05-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-06-01,4.1,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-07-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-08-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-09-01,4.2,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-10-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-11-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
2013-12-01,4.3,OK,"Tulsa, OK",Tulsa,"All Employees: Financial Activities: Insurance Carriers in Tulsa, OK (MSA)",SMU40461405552410001SA,Monthly,Seasonally Adjusted
